epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.00023741689801681787,0.38704714179039,0.001,0.5931217074394226,0.3607982099056244,0.011650023981928825,0.7208850383758545,0.41301462054252625,0.4028497338294983
1,0.00023741689801681787,0.18926526606082916,0.001,0.8422039151191711,0.7232056856155396,0.0,0.2818925976753235,0.7239512801170349,0.6930052042007446
2,0.00011870844900840893,0.11399606615304947,0.001,0.9084768891334534,0.8657869100570679,0.0,0.23117761313915253,0.772303581237793,0.7512953281402588
3,0.0,0.07658276706933975,0.001,0.93845134973526,0.9127776026725769,0.0,0.13456687331199646,0.9164223074913025,0.8095855116844177
4,5.935422450420447e-05,0.052514899522066116,0.001,0.9508567452430725,0.9465722441673279,0.0,0.1029607504606247,0.9408450722694397,0.8652849793434143
5,0.0001780626771505922,0.03298785910010338,0.001,0.9775609970092773,0.9674927592277527,0.0002377555938437581,0.11261346936225891,0.9179206490516663,0.8691709637641907
6,0.0004154795897193253,0.023338239639997482,0.001,0.9819355010986328,0.9797232151031494,0.0,0.11143066734075546,0.9421720504760742,0.8652849793434143
7,0.0013057929463684559,0.01733514294028282,0.001,0.9896574020385742,0.9855165481567383,0.0007132667815312743,0.09950447082519531,0.9176626801490784,0.8950777053833008
8,0.0011870844755321741,0.014764963649213314,0.001,0.9899870753288269,0.9864821434020996,0.004041844978928566,0.1415339559316635,0.91700679063797,0.8730570077896118
9,0.0013651471817865968,0.014201301150023937,0.001,0.9896807670593262,0.9877695441246033,0.0057061342522501945,0.15922439098358154,0.8976157307624817,0.8290155529975891
10,0.001899335184134543,0.010398276150226593,0.001,0.9916425347328186,0.9929192066192627,0.0004755111876875162,0.09145308285951614,0.9412568211555481,0.8924870491027832
11,0.003145773895084858,0.006657249294221401,0.001,0.9974226951599121,0.9964596033096313,0.009034711867570877,0.11356594413518906,0.9302013516426086,0.8976684212684631
12,0.005519942846149206,0.004430534318089485,0.001,0.9987121820449829,0.9983907341957092,0.0057061342522501945,0.10188733041286469,0.9299867749214172,0.9119170904159546
13,0.006291547790169716,0.0023953840136528015,0.001,0.9990350604057312,0.9996781349182129,0.0057061342522501945,0.10245251655578613,0.9308510422706604,0.9067357778549194
14,0.007419278379529715,0.0015947833890095353,0.001,1.0,1.0,0.009985734708607197,0.09856802970170975,0.9326288104057312,0.9145077466964722
15,0.009140551090240479,0.0012499967124313116,0.001,0.9993566870689392,1.0,0.012363290414214134,0.10487639904022217,0.9432432651519775,0.9041450619697571
16,0.009734093211591244,0.0022131535224616528,0.001,0.9990344643592834,0.9990344643592834,0.023775558918714523,0.11320322751998901,0.9421265125274658,0.9067357778549194
17,0.009021841920912266,0.003034705761820078,0.001,0.9983901977539062,0.9980688691139221,0.028530670329928398,0.12259399890899658,0.9409396052360535,0.9080311059951782
18,0.012286324985325336,0.0018054901156574488,0.000100000005,0.9996781349182129,0.9996781349182129,0.01759391278028488,0.10217446088790894,0.9414893388748169,0.9170984625816345
19,0.009852801449596882,0.0009920899756252766,0.000100000005,1.0,1.0,0.015929624438285828,0.0998506024479866,0.9365918040275574,0.9183937907218933
